,One bedroom apartment outside of city centre,Three bedroom apartment outside of city centre,"Basic utilities for 85 square meter Apartment including Electricity, Heating or Cooling, Water and Garbage","Internet, 60 Mbps or More, Unlimited Data, Cable/ADSL"
Louisville,840.19,1450.0,145.45,53.86
Indianapolis,782.99,1175.59,156.6,63.5
St. Louis,697.14,1317.86,171.43,59.67
Tulsa,806.71,1083.33,69.35,1.62
Little Rock,693.75,1100.0,157.04,62.44
Knoxville,829.17,1300.0,134.41,62.82
Akron,20.0,19500.0,,
Chattanooga,899.9,1382.73,176.58,66.19
Fayetteville,807.0,1771.43,3.67,3.21
Jackson,835.0,1130.0,197.66,78.83
Birmingham,839.23,1163.45,196.43,68.56
Toledo,597.5,956.25,219.29,61.36
Shreveport,3.5,0.1,,
Mobile,14.5,31217.5,,
Fort Smith,983.33,2.66,,
Augusta,813.33,1221.43,161.11,72.88
Cleveland,934.79,1342.31,197.18,61.75
Montgomery,828.5,1175.0,25.0,4.52
Huntington,555.0,850.0,145.45,53.86
Memphis,847.8,1107.33,157.71,72.67
Gulfport,10.0,23995.0,,
Detroit,1164.6,1500.0,160.74,57.8
